"id","match_num","team","rst","side","gtime","gold","tot_dam","kill","death","assist","tower","inhibitor","herald","dragon","elder","baron","sight","total_cs","set"
1416,"17529",T1,Victory,Red Side,"25:05",51002,63088,18,4,31,10,1,1,3,0,1,35,769,2
1417,"17530",DRX,Defeat,Blue Side,"36:35",63747,50038,5,14,9,8,0,2,1,0,0,55,1232,1
1418,"17530",LSB,Victory,Red Side,"36:35",67669,59071,14,5,39,9,2,0,4,0,2,43,1190,1
1419,"17530",DRX,Defeat,Blue Side,"34:29",60674,66774,7,15,21,3,0,1,0,0,1,60,1180,2
1420,"17530",LSB,Victory,Red Side,"34:29",67152,57616,15,7,31,9,1,1,4,0,1,45,1278,2
1421,"18463",GEN,Defeat,Blue Side,"30:09",49546,44728,8,15,17,1,0,1,2,0,1,43,960,1
1422,"18463",T1,Victory,Red Side,"30:09",56450,57624,15,8,32,8,1,1,3,0,0,46,1069,1
1423,"18463",GEN,Victory,Blue Side,"35:38",68032,82387,29,17,43,7,1,0,4,0,1,52,1081,2
1424,"18463",T1,Defeat,Red Side,"35:38",64080,90128,17,29,35,4,0,2,0,0,1,57,1123,2
1425,"18463",T1,Victory,Blue Side,"37:27",69442,77363,15,3,22,10,2,2,2,0,1,61,1221,3
1426,"18463",GEN,Defeat,Red Side,"37:27",59534,65203,3,15,7,3,0,0,4,0,1,61,1158,3
1427,"18463",GEN,Defeat,Blue Side,"27:55",42982,41357,4,21,8,2,0,0,2,0,0,37,850,4
1428,"18463",T1,Victory,Red Side,"27:55",56210,55252,21,4,39,10,1,2,2,0,1,48,941,4
1429,"18461",GEN,Defeat,Blue Side,"38:20",67070,62372,10,10,16,5,0,1,4,0,0,46,1364,1
1430,"18461",DK,Victory,Red Side,"38:20",72094,60132,10,10,22,9,1,1,2,1,2,59,1290,1
1431,"18461",DK,Defeat,Blue Side,"37:27",57891,60491,8,19,12,3,0,2,4,0,0,58,1073,2
1432,"18461",GEN,Victory,Red Side,"37:27",69468,75261,19,8,47,10,1,0,1,0,1,46,1208,2
1433,"18461",GEN,Defeat,Blue Side,"35:20",56191,61841,7,16,15,2,0,0,3,0,0,42,1122,3
1434,"18461",DK,Victory,Red Side,"35:20",63028,62306,16,7,43,8,1,2,2,0,1,60,1117,3
1435,"18461",GEN,Victory,Blue Side,"33:03",66908,66221,19,9,37,11,1,1,4,0,1,61,1160,4
1436,"18461",DK,Defeat,Red Side,"33:03",56357,49357,9,19,19,6,0,1,1,0,0,54,1082,4
1437,"18461",DK,Defeat,Blue Side,"34:06",60909,70947,12,15,21,8,0,2,3,0,1,63,1073,5
1438,"18461",GEN,Victory,Red Side,"34:06",62377,62541,15,12,33,7,1,0,2,0,1,43,1092,5
1439,"18460",T1,Victory,Blue Side,"26:17",51191,54433,13,3,34,8,1,2,2,0,1,40,912,1
1440,"18460",KDF,Defeat,Red Side,"26:17",39140,38702,3,13,7,1,0,0,2,0,0,49,846,1
1441,"18460",KDF,Defeat,Blue Side,"20:16",31247,25710,4,19,10,1,0,0,0,0,0,28,638,2
1442,"18460",T1,Victory,Red Side,"20:16",44627,49054,19,4,36,9,2,2,2,0,0,26,738,2
1443,"18460",KDF,Defeat,Blue Side,"31:58",51513,46978,11,20,20,2,0,0,2,0,0,51,988,3
1444,"18460",T1,Victory,Red Side,"31:58",65072,59610,20,11,39,10,2,2,3,0,1,47,1098,3
1445,"18462",DRX,Defeat,Blue Side,"37:27",63364,81893,6,21,12,5,0,2,2,0,0,62,1204,1
1446,"18462",KDF,Victory,Red Side,"37:27",71365,71861,21,6,45,11,2,0,4,0,2,68,1173,1
1447,"18462",DRX,Victory,Blue Side,"40:17",72699,108944,18,16,42,9,1,2,3,0,0,60,1252,2
1448,"18462",KDF,Defeat,Red Side,"40:17",64004,67279,16,18,35,2,0,0,3,0,0,82,1111,2
1449,"18462",KDF,Victory,Blue Side,"35:10",62614,52313,13,4,29,9,1,0,3,0,1,64,1095,3
1450,"18462",DRX,Defeat,Red Side,"35:10",55381,59521,4,13,9,4,0,2,3,0,0,53,1125,3
1451,"18462",DRX,Victory,Blue Side,"30:34",59532,76976,19,10,47,10,2,1,3,0,2,51,940,4
1452,"18462",KDF,Defeat,Red Side,"30:34",46996,67685,10,19,25,1,0,1,1,0,0,45,857,4
1453,"18462",KDF,Victory,Blue Side,"40:02",67472,70817,16,7,48,9,1,0,4,0,0,57,1131,5
1454,"18462",DRX,Defeat,Red Side,"40:02",62882,42615,7,16,19,7,1,2,2,0,1,59,1129,5
1455,"18459",DK,Victory,Blue Side,"39:54",75158,70480,18,7,35,10,2,2,4,0,2,63,1356,1
1456,"18459",BRO,Defeat,Red Side,"39:54",62284,51866,7,18,15,2,0,0,2,0,0,76,1211,1
1457,"18459",BRO,Defeat,Blue Side,"32:35",50754,44628,8,24,24,1,0,2,2,0,0,48,977,2
1458,"18459",DK,Victory,Red Side,"32:35",66972,85917,24,8,61,10,2,0,3,0,2,53,1053,2
1459,"18459",DK,Victory,Blue Side,"26:55",58296,55631,22,5,44,11,3,2,2,0,1,45,926,3
1460,"18459",BRO,Defeat,Red Side,"26:55",45152,40557,5,22,11,2,0,0,2,0,0,48,899,3
