mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26051926612854004,0.08140280330879186,0.02262091636657715,0.010132231949438917,6,3,3,100,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 100}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
0.6984925270080566,0.06597038013769259,0.0563664436340332,0.018508705760994955,6,3,3,300,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 300}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.9741935483870968,0.019354838709677448,43
1.007539987564087,0.032253107554353,0.07533779144287109,0.00023708536273114316,6,3,3,500,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 500}",0.9838709677419355,0.9838709677419355,0.9516129032258065,1.0,0.9838709677419355,0.9806451612903226,0.0158031596308592,2
0.19603161811828612,0.0020353638646270684,0.01744070053100586,0.00011365307384703839,6,3,5,100,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
0.5794630527496338,0.012833571998642832,0.046034622192382815,0.00061512166030405,6,3,5,300,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
0.9784815788269043,0.012111614913729057,0.07490501403808594,0.0007142524294549962,6,3,5,500,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 500}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
0.1976809024810791,0.001783203933155236,0.017357397079467773,0.00016395776477970585,6,3,10,100,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.9741935483870968,0.019354838709677448,43
0.5786770343780517,0.007173813385060881,0.046060371398925784,0.0005357665877579609,6,3,10,300,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.9838709677419355,0.9838709677419355,0.9516129032258065,0.9838709677419355,0.9838709677419355,0.9774193548387096,0.0129032258064516,10
0.9794780731201171,0.012571589362321837,0.07522897720336914,0.001067834048640155,6,3,10,500,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 500}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.9741935483870968,0.019354838709677448,43
0.19782571792602538,0.010237457379044404,0.017340087890625,0.00028364711963269117,6,5,3,100,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 100}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
0.5832494258880615,0.004289604509649633,0.04566483497619629,0.0003863809874627364,6,5,3,300,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 300}",0.9838709677419355,0.967741935483871,0.9354838709677419,1.0,0.9838709677419355,0.9741935483870968,0.02187848381653314,43
0.9761270046234131,0.014082067961906553,0.07603788375854492,0.0016428648741179939,6,5,3,500,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 500}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.9741935483870968,0.019354838709677448,43
0.20315489768981934,0.013929961695868555,0.01725940704345703,0.00018637089895619734,6,5,5,100,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.967741935483871,0.9741935483870968,0.02187848381653314,43
0.590700340270996,0.010880781245203423,0.04585566520690918,0.00041404373696578577,6,5,5,300,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.967741935483871,0.970967741935484,0.018809522241436477,95
0.976157283782959,0.010134987432991448,0.07478346824645996,0.0006644402613477761,6,5,5,500,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.9838709677419355,0.9838709677419355,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.9741935483870968,0.019354838709677448,43
0.19380435943603516,0.003359701632166665,0.01739211082458496,0.00016147014398181872,6,5,10,100,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9838709677419355,0.967741935483871,0.9354838709677419,0.9838709677419355,0.9838709677419355,0.970967741935484,0.01880952224143648,95
0.5842167377471924,0.014415667731760761,0.04617304801940918,0.00043915245847958335,6,5,10,300,"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.9838709677419355,0.9838709677419355,0.9354838709677419,1.0,0.9838709677419355,0.9774193548387096,0.021878483816533147,10
